startTime,blockName,league,match_id,type,team_1_name,team_1_code,team_1_result,team_2_name,team_2_code,team_2_result,format,games
2024-03-11T16:00:00Z,Week 1,LEC,111997906552104640,normal,Rogue,RGE,0,Team BDS,BDS,1,bestOf_1,"[['111997906552104641', [{'parameter': 'v2_5vho7bX4'}, {'parameter': 'Hl15wDOFg-A'}]]]"
2024-03-11T17:00:00Z,Week 1,LEC,111997906552170256,normal,SK Gaming,SK,1,Team Vitality,VIT,0,bestOf_1,"[['111997906552170257', [{'parameter': 'jOMopW9u2dU'}, {'parameter': '0cgvdsvu6XI'}]]]"
2024-03-11T18:00:00Z,Week 1,LEC,111997906552170234,normal,GIANTX,GX,1,MAD Lions KOI,MDK,0,bestOf_1,"[['111997906552170235', [{'parameter': 'MEmgQLSoIsc'}, {'parameter': '-3RLGjU8UOc'}]]]"
2024-03-11T19:00:00Z,Week 1,LEC,111997906552170248,normal,Team Heretics,TH,1,Fnatic,FNC,0,bestOf_1,"[['111997906552170249', [{'parameter': 'tjuqLLOjA0Q'}, {'parameter': 'QwfGsPVmXOY'}]]]"
2024-03-11T20:00:00Z,Week 1,LEC,111997906552104654,normal,G2 Esports,G2,1,Karmine Corp,KC,0,bestOf_1,"[['111997906552104655', [{'parameter': '1qejug4iRgg'}, {'parameter': 'cVSRY3wkMII'}]]]"
2024-03-16T16:00:00Z,Week 2,LEC,111997906552170226,normal,SK Gaming,SK,0,Team BDS,BDS,1,bestOf_1,"[['111997906552170227', [{'parameter': '6I8ildGUkzA'}, {'parameter': 'SagGohZrKXs'}]]]"
2024-03-16T16:45:00Z,Week 2,LEC,111997906552170240,normal,GIANTX,GX,0,Fnatic,FNC,1,bestOf_1,"[['111997906552170241', [{'parameter': 'agPyCGzKY88'}, {'parameter': 'Sr3EqOIzVA4'}]]]"
2024-03-16T17:30:00Z,Week 2,LEC,111997906552104660,normal,G2 Esports,G2,1,Team Heretics,TH,0,bestOf_1,"[['111997906552104661', [{'parameter': '9hC95EzG_UE'}, {'parameter': 'VXCIT7Ocw9w'}]]]"
2024-03-16T18:15:00Z,Week 2,LEC,111997906552170252,normal,MAD Lions KOI,MDK,0,Team Vitality,VIT,1,bestOf_1,"[['111997906552170253', [{'parameter': '4doUDVAzfN4'}, {'parameter': 'cTDbjk3Q34U'}]]]"
2024-03-16T19:00:00Z,Week 2,LEC,111997906552104638,normal,Karmine Corp,KC,0,Rogue,RGE,1,bestOf_1,"[['111997906552104639', [{'parameter': 'wvrQpFkfBAE'}, {'parameter': 'xmryq9WDTOY'}]]]"
2024-03-17T16:00:00Z,Week 2,LEC,111997906552170220,normal,GIANTX,GX,0,Team BDS,BDS,1,bestOf_1,"[['111997906552170221', [{'parameter': '7hZQbbe7HOg'}, {'parameter': 'NBRmrEowgDw'}]]]"
2024-03-17T16:45:00Z,Week 2,LEC,111997906552104650,normal,Rogue,RGE,0,Team Vitality,VIT,1,bestOf_1,"[['111997906552104651', [{'parameter': '_7A6dxLVb1Y'}, {'parameter': 'wjpcjZZOrMI'}]]]"
2024-03-17T17:30:00Z,Week 2,LEC,111997906552170212,normal,MAD Lions KOI,MDK,0,Karmine Corp,KC,1,bestOf_1,"[['111997906552170213', [{'parameter': 'kWots5UUAho'}, {'parameter': 'uSbTWoKzKdA'}]]]"
2024-03-17T18:15:00Z,Week 2,LEC,111997906552170244,normal,Team Heretics,TH,1,SK Gaming,SK,0,bestOf_1,"[['111997906552170245', [{'parameter': 'afYz85v25g0'}, {'parameter': 'U4-8-F7p82o'}]]]"
2024-03-17T19:00:00Z,Week 2,LEC,111997906552104668,normal,Fnatic,FNC,1,G2 Esports,G2,0,bestOf_1,"[['111997906552104669', [{'parameter': 'DiguuTkNhCQ'}, {'parameter': 'w-T7Mq5vn90'}]]]"
2024-03-18T16:00:00Z,Week 2,LEC,111997906552170222,normal,Team BDS,BDS,0,Team Heretics,TH,1,bestOf_1,"[['111997906552170223', [{'parameter': 'IF7lBK3axp4'}, {'parameter': 'K5D9dIXhoSI'}]]]"
